symbol,token
87SCL27-Z6,11356
915SCL27-Z7,11361
955SCL27-Z5,11352
785BR32-SG,11513
RKFORGE-EQ,11411
SPANDANA-EQ,11435
KRIDHANINF-BE,11488
TCS-EQ,11536
HDFC1359RQ-MF,11565
HDFC1359RD-MF,11562
654RJ30A-SG,1160
KOTARISUG-EQ,11647
INDOCO-EQ,11677
WESTLIFE-EQ,11580
789TS36-SG,11696
GOKEX-EQ,11778
SSWL-EQ,11829
CYBERMEDIA-BE,11845
78TN42-SG,11877
FMGOETZE-EQ,1190
RITEZONE-ST,11917
MCLEODRUSS-EQ,11943
SPLIL-BE,11938
VITAL-SM,11920
FUSION-EQ,11932
KANSAINER-EQ,1196
714NHAI26-N7,11949
BIKAJI-EQ,11966
ANZEN-IV,11945
ESG-EQ,1200
765PN42-SG,11981
532AS25-SG,1210
77BR32-SG,12300
658UP30-SG,1239
ZIMLAB-EQ,12384
10CAGL27-N5,12465
FINIETF-EQ,12578
PRECAM-EQ,12603
757HR30-SG,12664
GUJALKALI-EQ,1267
VASA-SM,1274
G1NSETEST-EQ,12842
759KA38-SG,13049
SFLZC26A-ZC,12941
UTIRQP35P2-MF,13164
UTIRFP35P2-MF,13158
765GA32-SG,13243
76KA32-SG,13245
SAKUMA-BE,13255
NITCO-EQ,13300
IEL-EQ,13303
DOLLEX-SM,13323
GOLDSTAR-SM,1
EMAMIPAP-EQ,10074
GUJRAFFIA-BE,10097
792AP42-SG,10218
BALKRISHNA-EQ,10181
SGBJUN27-GB,10261
CONFIPET-EQ,10238
AYMSYNTEX-EQ,10285
781HR32A-SG,10331
783AS32-SG,10357
783MN32-SG,10368
AURUM-EQ,10310
802WB37-SG,10384
KSHITIJPOL-EQ,10407
JISLJALEQS-EQ,10397
797WB42-SG,10454
782SK32-SG,10470
764TN29-SG,10452
797HR42-SG,10479
805RJ37-SG,10474
785KL35-SG,10532
H1158D46RG-MF,10505
OLECTRA-EQ,10637
777HR32-SG,10652
753NTPC30E-NC,10749
711NTPC25A-N8,10737
TIMESGTY-EQ,10717
SILVERADD-EQ,10761
MOQUALITY-EQ,10822
66SK30-SG,1084
77TN42-SG,10844
KORE-ST,10892
SFMP64DD-MF,10879
745HR32-SG,10955
758AP40-SG,10911
745AP40-SG,10962
OMAXAUTO-EQ,10922
NATHBIOGEN-EQ,11065
INDORAMA-EQ,10993
767HR32-SG,11284
HARSHA-EQ,11162
JSL-EQ,11236
768UP32-SG,11289
768WB32-SG,11291
76AP28-SG,11299
769KL40-SG,11292
77KL47-SG,11424
MAHABANK-EQ,11377
UMANGDAIRY-EQ,11387
PTC-EQ,11355
ULTRACEMCO-EQ,11532
GIPCL-EQ,1145
HDFC1359RG-MF,11563
741GJ26-SG,11588
774HR29-SG,11676
66AS30-SG,1163
GULFPETRO-EQ,11581
784TS40-SG,11768
788MP33-SG,11695
XCHANGING-EQ,11705
JSWSTEEL-EQ,11723
78KL45-SG,11770
SHOPERSTOP-EQ,11813
88SCL25-ZG,11833
782SK32A-SG,11878
NH-EQ,11840
GLAND-EQ,1186
782NL32A-SG,11881
HTMEDIA-EQ,11979
NECLIFE-EQ,11927
DCXINDIA-EQ,11895
767KA32-SG,11984
ICIL-EQ,11987
IMPAL-EQ,12009
UTIDAP35P1-MF,12039
SCPL-EQ,12072
UTIRGR35P1-MF,12060
UTIDQP35P1-MF,12046
66HP30-SG,1221
OCCL-EQ,12231
SOLEX-ST,1234
960CAGL25-N3,12444
666KA32-SG,1248
SFMP72GD-MF,12561
763KA37-SG,12692
763KL43-SG,12726
HYBRIDFIN-EQ,12809
BAHETI-SM,12989
GSEC10IETF-EQ,13143
ORIENTCER-EQ,13111
EKC-EQ,13091
UTIDQP35P2-MF,13155
ABSLFTUBDG-MF,13228
LANDMARK-EQ,13276
GVKPIL-BE,13229
BLKASHYAP-EQ,13290
VISASTEEL-BE,13298
758JH31-SG,13368
769PY37-SG,13397
UMA-SM,13349
KFINTECH-EQ,13359
SGBN28VIII-GB,1342
955SCL25-ZU,13465
939SCL27-ZZ,13492
PFOCUS-EQ,13496
TECHM-EQ,13538
94SFL28-YL,1001
68JK35-SG,1009
688WB40-SG,1015
765TN29-SG,10234
785MP32-SG,10198
SYNGENE-EQ,10243
792AP42A-SG,10257
795AP40A-SG,10255
792AP41-SG,10337
794PN42-SG,10333
PKTEA-EQ,10321
785PN32-SG,10394
798RJ42-SG,10381
UNITDSPR-EQ,10447
757HP31-SG,10526
SATIN-EQ,10453
H1158D46DQ-MF,10501
HDFCNEXT50-EQ,10619
775TN32-SG,10651
782PN42-SG,10558
655GA30-SG,1074
774AP38-SG,10719
HIGHWAYS-IV,10757
647KA30-SG,1080
ZENSARTECH-EQ,1076
HDFC1406DQ-MF,10840
762BR32-SG,10854
771AP39-SG,10847
GRMOVER-EQ,10871
753BR32-SG,10923
AMEYA-SM,10898
SFMP64GR-MF,10882
SFMP64DR-MF,10880
LIQUIDBEES-EQ,11006
736GS2052-GS,10931
SECURKLOUD-BE,11062
TMB-EQ,10945
INDIGO-EQ,11195
MAKS-ST,11222
772WB38-SG,11295
DREDGECORP-EQ,11271
BALAXI-EQ,11309
WELSPUNLIV-EQ,11253
PETRONET-EQ,11351
TTKHLTCARE-EQ,11369
905SC24B-Z9,11368
781UP32-SG,11408
783TS36-SG,11415
DATAMATICS-EQ,11423
BIOCON-EQ,11373
NV20-EQ,11457
785AP40-SG,11514
APARINDS-EQ,11491
77MH30-SG,11590
DCI-EQ,11566
NIITLTD-EQ,11522
774GA32-SG,11597
INDSWFTLTD-EQ,11602
79NHIT35-N1,11658
781HR32C-SG,11690
DWARKESH-EQ,11667
SUPRAJIT-EQ,11689
79NHIT40-N2,11665
793WB37-SG,11698
775AP29-SG,11760
OMFURN-SM,117
JPPOWER-EQ,11763
782AS32A-SG,11764
ACEINTEG-EQ,11779
HPIL-EQ,11796
894SCL25A-ZI,11837
SYNCOMF-EQ,11992
SHAHALLOYS-BE,11859
SATINDLTD-EQ,12015
955SCL27A-ZJ,11843
UTIRAP35P1-MF,12048
UTIRFP35P1-MF,12057
AARTISURF-P1,12121
77HR34-SG,12303
739ML26-SG,12289
GRASIM-EQ,1232
673TS50-SG,1256
VINNY-BE,12506
76GJ32-SG,12667
762AS32-SG,12666
ROUTE-EQ,128
V1NSETEST-EQ,12863
SGBAUG27-GB,12904
NPBET-EQ,12978
SARVESHWAR-EQ,12913
QUICKHEAL-EQ,13116
ABB-EQ,13
TRIVENI-EQ,13081
REPRO-EQ,13126
UTIDFP35P2-MF,13152
COMMOIETF-EQ,13198
MARINE-EQ,1328
762GA32A-SG,13373
SOLARINDS-EQ,13332
ORTEL-BZ,13321
ARIHANTACA-SM,13340
763PY32-SG,13382
77JK37-SG,13392
768PN39-SG,13398
763KL32-SG,13375
767WB39-SG,13399
767WB41-SG,13401
GPIL-EQ,13409
LOKESHMACH-BE,13439
KELLTONTEC-EQ,13430
EMKAY-BE,13424
JKLAKSHMI-EQ,13491
SHIVAUM-ST,13471
HDFC1204RG-MF,13548
EMAMILTD-EQ,13517
HDFC1204DD-MF,13539
64AP28-SG,1362
622KL27-SG,1361
TALBROAUTO-EQ,13648
759TS40-SG,13721
66MN30-SG,1368
SFMP74GR-MF,13674
GLOBALVECT-EQ,13735
GESHIP-EQ,13776
674TS50-SG,1386
77MN35-SG,13892
IIFLZC26A-NR,13850
JINDRILL-EQ,13875
766WB39-SG,13906
763GJ32-SG,13916
ARISTO-SM,13926
TANLA-EQ,13976
UTIRGR35P3-MF,13948
UTIDAP35P3-MF,13937
965IFSL26-N6,14045
WANBURY-EQ,14063
985SFIL28-NO,14038
766BR33-SG,14098
GANDHITUBE-EQ,14116
IGPL-EQ,14086
768GJ30-SG,14156
PITTIENG-EQ,14134
762PY35-SG,14164
77HR31-SG,14159
SHERA-SM,14172
765HR33A-SG,14272
759HP38-SG,14276
REDINGTON-EQ,14255
668MZ31-SG,1430
758KL49-SG,14355
769MP43-SG,14352
775UP38-SG,14442
PAGEIND-EQ,14413
APOLLOPIPE-EQ,14361
UTIRPP36P1-MF,14401
757TN53-SG,14455
GOKULAGRO-EQ,14480
ICRA-EQ,14523
THEMISMED-EQ,14485
77AP30A-SG,14636
772AS33-SG,14539
772MH32-SG,14639
VELS-ST,14595
776HP33-SG,14641
777RJ33-SG,14642
INSECTICID-EQ,14657
031NSETEST-EQ,14753
ADVANIHOTR-EQ,14745
DLF-EQ,14732
HFMPM23RND-MF,14737
161NSETEST-EQ,14784
MEGASOFT-BE,14797
ABSLFTUJDN-MF,14795
ABSLFTUJRN-MF,14804
775SK33-SG,14822
778RJ33-SG,14824
773MH32-SG,14819
WSI-BE,14832
785WB42-SG,14849
CCCL-EQ,14992
AKI-BE,14895
SOTAC-SM,14993
75HR30-SG,15098
656UP30-SG,1525
DVL-EQ,15214
745UP33-SG,15314
745RJ33-SG,15309
QUICKTOUCH-ST,15294
890SFIL23A-NZ,15253
SHALPAINTS-EQ,15342
GOLDETFADD-EQ,15356
734AP29-SG,15475
735HR33-SG,16064
738AP40-SG,15572
KRISHCA-ST,16147
736WB43-SG,16379
732TN53-SG,16274
657HP30A-SG,1647
732MH32-SG,16227
729TN53-SG,16656
734AS33A-SG,16645
KIRIINDUS-EQ,16639
67GJ30-SG,167
BAJAJFINSV-EQ,16675
RPGLIFE-EQ,16725
SILVRETF-EQ,16777
ARCHIDPLY-EQ,16795
KDL-ST,16765
735TN43-SG,16814
736GA33-SG,16797
83TCHF28-N9,16872
739TN33A-SG,16928
ZFCVINDIA-EQ,16915
INDBANK-EQ,16933
URBAN-ST,16917
738GJ30A-SG,16973
VILINBIO-ST,16960
739TS51-SG,16997
743AP39-SG,16987
744TN33A-SG,17119
SGBJ28VIII-GB,17110
75HP38-SG,17101
744ML31-SG,17116
NEXT50-EQ,17181
742TN33-SG,17221
PENTAGON-SM,17132
JBCHEPHARM-EQ,1726
EXCEL-EQ,17376
BLS-EQ,17279
665TR35-SG,1738
741GA33-SG,17455
971SCL28I-BC,17564
EXPLEOSOL-EQ,17486
745TS30A-SG,17637
745AS33A-SG,17642
ASALCBR-EQ,17598
YCCL-SM,17627
744JK53-SG,17672
890NHB34-N7,1767
ALOKINDS-EQ,17675
GROBTEA-EQ,17770
ZEAL-SM,17766
743TS41-SG,17840
957NIDO26-N5,17864
REDTAPE-EQ,17859
AWHCL-EQ,1797
SBFC-EQ,18026
MBLINFRA-EQ,18029
BPF02D2G-MF,18006
BPF02D4R-MF,18010
NIFTY1-EQ,18102
BPF02IWR-MF,18094
EMMBI-EQ,18142
BPF01D2G-MF,18166
BPF01D1D-MF,18164
BPF02RGG-MF,18160
658GA31-SG,1830
582RJ27-SG,1824
LORDSCHLO-BE,18235
744TS39A-SG,18410
748AP38A-SG,18518
744MN35-SG,18406
RISHABH-EQ,18417
746MP38-SG,18527
GNA-EQ,18571
MITTAL-EQ,18562
664JK36-SG,1863
MARATHON-EQ,18659
IDFNIFTYET-EQ,18783
YATRA-EQ,18760
KODYTECH-ST,18754
HEG-EQ,1336
767TS35-SG,13389
76KA32A-SG,13374
BHAGERIA-EQ,13400
RSYSTEMS-EQ,13414
NECCLTD-EQ,13522
AKASH-EQ,13510
GMRAIRPORT-EQ,13528
HDFC1204DQ-MF,13543
649GJ29-SG,1364
SFMP74DR-MF,13670
759AP33-SG,13717
VISHWARAJ-EQ,13702
INFOMEDIA-EQ,13693
ACLGATI-EQ,13688
668JH32-SG,1376
NAUKRI-EQ,13751
SOBHA-EQ,13826
TORNTPOWER-EQ,13786
DONEAR-EQ,13839
BANCOINDIA-EQ,13880
769UP35-SG,13891
764GA33-SG,13887
769AS33-SG,13959
UTIDGR35P3-MF,13939
766TS44-SG,13995
767NL33A-SG,13967
GRCL-SM,14052
763JH30-SG,14087
ASMS-EQ,14064
SANGHVIMOV-EQ,14058
HDFCSML250-EQ,14233
76GJ35-SG,14107
756RJ48-SG,14113
UNOMINDA-EQ,14154
766SK33-SG,14274
753TN53-SG,14280
759MP38-SG,14277
771GJ33-SG,14374
758RJ48-SG,14354
SANOFI-EQ,1442
NAHARSPING-EQ,14440
739NHAI31A-ND,14522
HLVLTD-EQ,1448
772GJ35-SG,14553
77HR32-SG,14532
MCON-SM,14574
772GJ34-SG,14643
772HR32-SG,14638
SIMBHALS-BE,14616
FSC-BZ,14628
011NSETEST-EQ,14747
HFMPM23DGR-MF,14726
101NSETEST-EQ,14772
TARMAT-EQ,14771
151NSETEST-EQ,14782
SPARC-EQ,14788
ABSLFTUJRG-MF,14802
797PN38-SG,14836
ELECTHERM-BE,14902
IFBAGRO-EQ,1482
GSEC10YEAR-EQ,14938
MOTILALOFS-EQ,14947
MAGNUM-EQ,14957
771AP33A-SG,14959
CSBBANK-EQ,14966
MAANALU-BE,15018
PSUBNKBEES-EQ,15032
PSUBANK-EQ,15061
RELIGARE-EQ,15068
761TS44-SG,15106
PATTECH-SM,15137
CEATLTD-EQ,15254
BRIGADE-EQ,15184
MADHAV-EQ,15151
1003SFIL28-NX,15249
VIRINCHI-EQ,15295
HERCULES-EQ,15288
746TS48A-SG,15333
SADHNANIQ-BE,15349
APOLLOHOSP-EQ,157
PIGL-BE,15730
PDMJEPAPER-BE,15406
732TS48-SG,15783
737JK35-SG,16069
736AP34-SG,16066
PRINCEPIPE-EQ,16045
737AP33-SG,16290
737NL33-SG,16235
PAVNAIND-EQ,16192
669TS40-SG,1655
PANACHE-BE,16355
ITC-EQ,1660
BAJAJ-AUTO-EQ,16669
SIGMA-EQ,16658
SUNDROP-EQ,1663
735TN33-SG,16796
736HR33A-SG,16801
801TCH28-N7,16838
IVP-EQ,1681
IKIO-EQ,16822
LPDC-EQ,16863
74AP32-SG,16923
81TCHF28-N8,16870
742CG31-SG,16976
736JK35-SG,16929
HMAAGRO-EQ,17053
743PN48-SG,17114
MAGSON-ST,17091
673SK30-SG,173
744HR32-SG,17220
SYNOPTICS-SM,17203
737BR30-SG,17322
736MZ38A-SG,17326
VINATIORGA-EQ,17364
AJMERA-EQ,17307
PREMEXPLN-EQ,17397
DRONE-ST,17383
665TS40-SG,1742
665AP40-SG,1745
741MN35-SG,17458
AMRUTANJAN-EQ,17547
JINDALPOLY-EQ,1756
743TN53-SG,17671
SUNTECK-EQ,17641
TREL-EQ,17795
LTIM-EQ,17818
669TN30-SG,179
BAYERCROP-EQ,17927
925IHFL25D-N6,17928
WHIRLPOOL-EQ,18011
CIFC28-NB,17964
JUBLFOOD-EQ,18096
ADVENZYMES-EQ,18039
KPIL-EQ,1814
BPF02RMD-MF,18161
BPF02RMR-MF,18162
747KL37-SG,18215
ARSSINFRA-BE,18206
HFMPCC75DD-MF,18191
HFMPCC75RD-MF,18192
663MN31-SG,1833
746MZ39-SG,18221
PYRAMID-EQ,18250
744HR35-SG,18407
744AP40-SG,18411
KCP-EQ,1841
74TS43-SG,18412
74AP43-SG,18413
CAGL27-NC,18485
SAROJA-SM,18506
741WB42-SG,18686
741JK53-SG,18687
JLHL-EQ,18553
SAMHI-EQ,18614
746TS30-SG,18690
GICL-SM,18815
ENDURANCE-EQ,18822
SCL25A-BH,18824
1075SCL33A-N2,18902
10SCL30A-BV,18868
VERTOZ-BE,18865
661UP31-SG,1891
522GS2025-GS,18976
UNIVASTU-EQ,18977
SUNDARAM-EQ,18931
664MZ32-SG,1899
STYRENIX-EQ,19
CUMMINSIND-EQ,1901
767PN35-SG,19167
ROLLT-EQ,19104
CAPTRUST-EQ,19447
KREBSBIO-EQ,1937
772ML31-SG,19517
775PN36-SG,19486
TICL-EQ,19501
KARNIKA-ST,19468
ALPHAETF-EQ,19640
766AP42-SG,19621
661MP37-SG,1953
775TS37-SG,19725
773RJ33-SG,19716
776MP37-SG,19727
765TN30-SG,19908
77AP43-SG,19730
935PEL33-N3,19861
LMW-EQ,1979
77KA33-SG,19909
888IRFC29-NE,1999
863IRFC29-NC,1991
66GA30A-SG,20
872MMFSL26-N1,20046
866IIFC34B-N3,20056
SASTASUNDR-EQ,20063
INFRABEES-EQ,20072
ASKAUTOLTD-EQ,20152
77UP35-SG,20221
780HR30-SG,20219
663HP33-SG,2023
771WB43-SG,20363
658KA30-SG,20288
FLAIR-EQ,20372
724HR29-SG,20519
772KA35A-SG,20477
771AP37A-SG,20398
721AP31-SG,20575
72AP30-SG,20574
ASHIMASYN-EQ,206
803ABHF27-N2,20590
PENIND-EQ,20621
763WB38-SG,20743
689BR28-SG,2065
656AP31-SG,20666
VTL-EQ,2073
707JK30-SG,20796
878MFL27-NH,20749
699AR30-SG,20861
779SIDBI27-N0,20843
HUDCO-EQ,20825
672GA30-SG,20913
717KA30-SG,20918
688RJ46-SG,2089
689WB41-SG,2092
VSCL-ST,20974
SCLZC26G-YA,21008
8HR30-SG,21031
795JK30-SG,21046
971SCL28B-YD,21019
980SCL33D-YG,21024
773GJ29-SG,21049
73HP30-SG,21051
KCEIL-ST,21185
LOWVOLIETF-EQ,21254
DIGIDRIVE-EQ,21247
78NABARD27-N0,21239
772TN34-SG,21269
777HR36-SG,21276
776KL35-SG,21272
651KA31-SG,21419
696RJ41-SG,2147
AVONMORE-BE,13566
RADIANTCMS-EQ,13580
HDFC1204RD-MF,13547
764GA38-SG,13619
76KA33-SG,13601
762KL53-SG,13624
HIMATSEIDE-EQ,1360
665JK30-SG,1373
FIEMIND-EQ,13710
GTLINFRA-EQ,13745
755TS30-SG,13770
BBL-EQ,13761
755JK38-SG,13779
673PN40-SG,1382
LTFOODS-EQ,13816
767AS33-SG,13877
765RJ33-SG,13881
766RJ33-SG,13960
HBLENGINE-EQ,13966
880IREDA34-N6,1393
764TS33-SG,14097
756TS48-SG,14112
BAGFILMS-BE,14075
762MN35-SG,14165
762MZ36-SG,14166
762MP34-SG,14163
TIMKEN-EQ,14198
NSLNISP-EQ,14180
768BR33-SG,14271
77AP30-SG,14268
769WB39-SG,14340
774AP32-SG,14373
INDIANB-EQ,14309
772BR33A-SG,14375
ASTRAL-EQ,14418
UTIRGR36P1-MF,14399
775WB39-SG,14446
77AP29-SG,14421
LAOPALA-EQ,14423
772TS46-SG,14452
BANSWRAS-EQ,14511
DIVGIITTS-EQ,14479
766KL50-SG,14563
766MH33-SG,14549
AROGRANITE-EQ,14557
SGBMAR31IV-GB,14598
773GJ36-SG,14652
HILTON-EQ,14627
776UK33-SG,14820
777HR33-SG,14825
GOACARBON-EQ,14687
781UP34A-SG,14830
784RJ41-SG,14845
ASIANTILES-EQ,14889
SHIVAMILLS-EQ,1497
KDDL-EQ,14908
F13RG-MF,14948
749MH30-SG,15015
ASTERDM-EQ,1508
INFINIUM-SM,15036
BAJAJELEC-EQ,15034
535RJ25-SG,1513
TARIL-EQ,15174
INDIAGLYCO-EQ,1521
AMBIKCO-EQ,15234
UJJIVANSFB-EQ,15228
KAVVERITEL-BE,15248
957SFIL28-NW,15245
743TS33-SG,15265
743AP31-SG,15264
747AP37-SG,15267
747WB43-SG,15320
747PN43-SG,15319
746KL48-SG,15324
KNRCON-EQ,15283
RAIN-EQ,15337
GSS-EQ,15347
VGUARD-EQ,15362
74AP31-SG,15477
737AP43-SG,15578
NESCO-EQ,15409
735AP39-SG,15759
734AS33-SG,16019
NXST-RR,15815
736HR33-SG,16364
732KL53-SG,16398
IONEXCHANG-EQ,1630
TATAINVEST-EQ,1621
729CG30-SG,16640
DENTALKART-SM,16454
CRAYONS-ST,16442
737JK38-SG,16650
733AP43-SG,16654
DIGISPICE-EQ,16683
725GS2063-GS,16733
GHCLTEXTIL-EQ,16696
74MP34-SG,16805
734TN43-SG,16939
736MZ38-SG,16934
ARTEMISMED-EQ,16913
74CG30-SG,16974
588CG26-SG,1703
IIFLZC28B-Y1,17043
66ML30A-SG,1712
URAVIDEF-BE,17081
SUMICHEM-EQ,17105
MIDCAPIETF-EQ,17152
747PN34-SG,17127
IDEAFORGE-EQ,17140
AARTECH-EQ,17145
SGBJUN31I-GB,17202
SHRIPISTON-EQ,17186
CYIENTDLM-EQ,17187
GKWLIMITED-BE,17360
MHRIL-EQ,17333
74UP33-SG,17453
743AP35-SG,17457
OIL-EQ,17438
736WB41-SG,17461
SCLZC25A-AS,17503
SCLZC25B-AT,17505
SETCO-BE,17518
902SCL26I-AW,17521
ASTEC-EQ,17728
SHILPAMED-EQ,17752
MAHEPC-EQ,17603
747TS32-SG,17834
ORIANA-SM,17882
VINSYS-SM,17898
965IHFL25D-N7,17934
PGIMCSR2G-MF,17996
749HR33-SG,18081
YASHO-EQ,18131
BPF02RDR-MF,18095
DOLPHIN-BE,18136
BPF01D1R-MF,18165
IFD3GPD-MF,18177
749BR31-SG,18204
FISTIPD3MD-MF,18199
FICRFD3DPD-MF,18180
MANINFRA-EQ,18226
SEL-SM,18264
SPAL-EQ,18252
74KL41-SG,18336
LGBBROSLTD-EQ,18321
PERSISTENT-EQ,18365
745PN34A-SG,18405
RBLBANK-EQ,18391
748UK33-SG,18532
746TS42-SG,18537
SABEVENTS-BE,18501
747CG30-SG,18689
664AP39-SG,1866
MASKINVEST-BE,18731
NIRAJISPAT-EQ,18840
SCL25B-BI,18829
971SCL28C-BU,18861
743TN53A-SG,18922
745RJ44-SG,18911
748MP29-SG,18923
888SCL25E-N4,18906
ITBEES-EQ,19084
SGBJUN28-GB,19078
746MP38A-SG,18994
JSWINFRA-EQ,19020
754CG31-SG,19180
749TS44-SG,19177
762BR31-SG,19181
MOM50-EQ,19289
662GA31-SG,1939
663ML31-SG,1940
TERASOFT-BE,19296
764WB43-SG,19520
762TN53-SG,19488
762GJ28-SG,19480
767GA33-SG,19527
766HR35-SG,19533
BSE-EQ,19585
WELINV-EQ,19800
PARAGON-ST,19782
940SCL26-N6,19758
772RJ33-SG,19912
771MH33-SG,19911
77MH34-SG,19899
AMNPLST-EQ,19867
LIBERTSHOE-EQ,1994
DMART-EQ,19913
UNIDT-EQ,201
876HUDCO28-ND,19968
867PFCL33-N7,20026
990SCL26A-NL,20061
718AS30-SG,20146
CANTABIL-EQ,20160
980SCL33-NX,20120
1015SCL28-NR,20102
663WB31-SG,2022
76JK53A-SG,20197
LUMAXIND-EQ,2018
JWL-EQ,20224
77BR38-SG,20226
ROCKINGDCE-ST,20292
772HR33-SG,20393
773AP32A-SG,20391
771KL43-SG,20364
774BR38-SG,20401
774RJ33A-SG,20394
IOLCP-EQ,20413
850CIFCL26-NE,20435
771KA36-SG,20478
BAJEL-EQ,20531
CIFCZC28-NH,20445
690AP27-SG,20599
TPL26-N3,20622
810ABHF28-N0,20586
SCHAND-EQ,20698
755GJ31-SG,20724
763AR33-SG,20734
85LTF26-NM,20713
712HR40-SG,20775
RPPINFRA-BE,20764
921ISFL25-N0,20762
885MFL28-NI,20751
756TN53A-SG,20933
758GJ32-SG,20927
702AS30-SG,20851
IRBINVIT-IV,20817
780KA30-SG,20964
925SCL25H-Y0,20968
948SCL26B-Y8,21000
925SCL28B-YC,21016
688AP35-SG,21054
TEJASNET-EQ,21131
SUPREMEPWR-ST,21074
773KA35A-SG,21163
774RJ34-SG,21156
910TCAP28-NA,21225
ASHOKLEY-EQ,212
TATAGOLD-EQ,21401
764GJ31-SG,21262
765PGCIL34-N0,21315
SALASAR-EQ,21362
697WB36-SG,2149
STEL-BE,21488
THEINVEST-EQ,21427
767CG33-SG,21502
597CG27-SG,1887
579GS2030-GS,18857
957SCL30-BX,18879
749CG30-SG,18932
PNBHOUSING-EQ,18908
KSL-EQ,18889
748HR35-SG,18954
759MN35-SG,18991
744WB42-SG,19000
105IIFL29-N7,19047
756UP35-SG,19168
76AP34-SG,19164
759WB39-SG,19172
SGBJAN29IX-GB,1920
TI-EQ,19196
MONIFTY500-EQ,19237
LIQUIDETF-EQ,1927
TCIEXP-EQ,19223
765TN33A-SG,19524
772MZ38-SG,19539
SECMARK-EQ,19496
HDFCGOLD-EQ,19543
772TN33-SG,19618
773MN35-SG,19611
768MP34-SG,19619
733GS2026-GS,19685
TRENT-EQ,1964
773GA33-SG,19717
773KA35-SG,19721
773KA36-SG,19723
MUFIN-EQ,19783
TRANSTEEL-SM,19801
888SCL25D-NC,19774
772TS36-SG,19902
ESAFSFB-EQ,19878
888SCL25-NG,19957
61CG27-SG,2013
732GS2030-GS,20136
925SCL28A-NS,20104
965SCL25F-NZ,20130
725GR2028-GS,20151
69AS30-SG,20155
ASHOKA-EQ,20182
BABAFP-SM,20141
774HP38-SG,20184
772AP38-SG,20183
URJA-EQ,20203
768UP34A-SG,20220
GANDHAR-EQ,20303
IRFC-EQ,2029
TATATECH-EQ,20293
768TN30B-SG,20335
718AP28-SG,20309
RESPONIND-EQ,20323
774CG31-SG,20342
779PN36-SG,20356
774RJ33-SG,20347
776MP37A-SG,20357
769KA33A-SG,20392
781MZ37-SG,20400
COALINDIA-EQ,20374
764JK50-SG,20402
766GJ30A-SG,20479
771AP31-SG,20472
MARINETRAN-ST,20414
BBNPPGOLD-EQ,20547
